,Emotion,Text
18753,sad,wanna listen music stupid ass ipod broke  :(
18754,sad,  wait Sancha there cant share nachos looking forward that
18756,joy,im tired knee hurts ive 20 hours straight lost courtney
18757,sad,earliest sparkling wines undoubtedly discovered accident  probably trial error methods employed anguished winemakers ironically trying avoid nuisance fizzy wines 
18758,joy,’ agree  ’ ideal place vacation 
18759,sad,hate im black girl acne problems
18760,fear,Milwaukee Bucks Doin things year deer
18761,joy,Day went well Glory God yet want God smiled :)
18762,fear,Police increasingly concerned prisoner s health weekend 
18764,fear,#LORD fell kingdoms lands #Judah war Jehoshaphat
18765,joy,2 weeks later gash leg nearly healed finally fully bend leg now
18766,sad,focus inconsolable grief  inspires poetry literature  symphonies songs 
18767,joy,Love highest vibration Universe sends shivers spine #Quote #love #peace #joy
18768,fear,mean hate itnot mei love itbut people rude awakening youlmao
18769,fear,point mentioning bats thought Poor bastard soon enough #Loathing
18770,joy,weekend laundry studying
18771,fear,control life reins
18772,fear,Im scared love Im scared leave
18773,fear,fully once #kill day day [#PauloCo…
18774,sad,brother came tell problems family felt sad thought mother gone away brother younger things different
18775,sad,  Im Chicago musical Memphis shows damn time
18776,joy,hour seventeen minutes spend rest day library
18777,fear,God hate hospitals Scare shit me help old lady Rachael appears getting rights
18778,fear,love type quotchquot thing comes quotchupacabraquot lol (i believe him) :)
18779,anger,exasperated  control 
18780,joy,Yes im weird yes know it know im me 100% naterul crazy badass accept cause otherwisei dont care p xxx lt3lt3lt3
18781,joy,night Coffee hand sweats Buble Christmas Pandora
18782,sad,grandfathers death
18783,joy,Barb  
18784,fear,IM WAITING STEEN WOLF TOGETHER ITLL quotTREAT YO SELFquot BIRTHDAY CELEBRATION HOLD MONTH
18785,joy,going bed Im sleepy usual 6AM right fckin corner
18786,sad,’ afraid  Bob  major volcanoes Mexico erupted  causing major floods landslides region   Mexico ’ coast hit hurricane officials seismic activity leads believe tsunami hit Central America  affecting Honduras  Guatemala Panama  ’ news today  stay tuned updates ’ clock news  Bob 
18787,joy,Library hall meeting library oh thatits 31 degrees outside
18788,anger,library trip taking long yo
18789,joy,Bomb Im essay :) :) :) finally
18790,fear,girl glued spot  terrorstruck  popeyed  quivering  knowing certain Day Judgment come 
18791,anger,wrong affects negatively
18792,joy,math home work Oh :)
18793,joy,headed meridian watch dad race #goingtofreeze
18794,joy,Christmas pictures today
18795,joy,Triple grande peppermint white mocha pumpkin scone 8 am Oh yeah lost credit card
18797,sad,lt awesome theme solo piece :) ltgt :(
18798,fear,things appear true know sure false
18799,fear,  thanks ur words mean lot u goodand precious smile notHE THEE ETERNITY
18800,sad,  failure = big deal :(
18801,sad,  hearing rumors organized Gatorade bath Maryland aint so #Gatorade #coldsweatshirt
18802,joy,love stumble brilliant   internet travels  fills cup right up
18803,joy,Darling  news  Bobby wife  Evelyn  going baby soon 
18804,joy,weeks wine comic focus: Sparkling wines different countries #festivities #comics
18805,joy,Hoy va ser un dia muuuuuy movidito desde la una en adelante :)
18806,sad,Oh  sorry 
18807,fear,climbed sides  time making new discoveries  finding new surprises delights  let confess  secret places recoiled horror 
18808,sad,needa change TI backgroundssighlol
18809,fear,procrastinate clear focused lose confidence amp sets in focused
18810,anger,exboyfriend tried prejudice fianceand family saying things let family worried postpone wedding wedding rings honest feel anger felt hate
18811,joy,Ah great day ending How Grinch Stole Christmas cant Holiday season #Holidays
18812,anger,Mansell livid admitted ran away scene accident avoid tempted big trouble 
18813,fear,Les podcasts le timeshifting  suis en train de comprendre
18814,sad,real research  suggest  needed condition  frequently ribtickling retrospect  causes widespread anguish time 
18815,joy,Time ugh shower spend night studying
18816,joy,dislocated knee playing dodgeball night headed ortho doc couple hours sure alright
18818,sad,Sadly iPad dying :/ charge it
18819,joy,  thx yeah hes mamas boy  hes 3 goin naughty lol week hes finally saying mama clearly w/good eye contact #autism
18820,sad,  te amo también Hahha Errybodyy body love Billy missed day today D:
18821,fear,nt feel frightened  nt vulnerable position 
18822,anger,moment felt anger unfeeling attitude  common sense prevailed 
18823,sad,sad     going home love guys:))) good luck future FANZ NZ
18824,fear,Going CAL knowing anyone
18825,joy,1 hour 30 minutes left birthday
18826,sad,creepy people hint stop texting you
18827,joy,didnt burn flames entry Id thats good sign
18828,joy,fall asleep phone goes off
18829,joy,2 functions today looks like Im leaving till 4amand work tommorow morning
18830,joy,New Jerusalem thirst hunger heatand God wipe away tear eyes Rev 7:16
18831,joy,Leg 2: GUA MIA = success Leg: MIA IAD Customs security first
18832,joy,use fax card ll ecstatic WorldStar capacity create fax files matter seconds 
18833,joy,puts smile face Hes God Psalm 42:5
18834,joy,Sure  sisterinlaw husband bought house way  ’ pretty satisfied 
18835,joy,takes place 3 days costume   ready #jolly know im ready #badsanta
18836,sad,started  job market bad right  Im optimistic 
18837,joy,  DAMN SUMBODY B NICE FME
18838,sad,depressed  wandering round house like zombie 
18839,joy,Thankful 4 major perspective change year grown know Jesus Jesus ways be4
18840,joy,sga time  better quick
18841,anger,feels miffed mystified manager Kevin Keegan discarded readily St James  Park Premier League clubs willing hire lethal skills 
18842,fear,“  afraid tomorrow seen yesterday love today #less” good one
18843,fear,present Society based disable 2 grow think properly amp expand thoughts Religion media education r fear sources
18845,joy,party New Years Eve met old friend seen time
18846,joy,happy joy time #family photos
18847,fear,Sweden friend lived appartment owned Finn day man came appartment heavily drunk (hashish alcohol) dizzy broke down foretell reactions However happened
18848,anger,Barbarossa sent mandate requiring Milan claims  Milanese consuls tore document  imperial ambassador fled enraged crowd 
18849,sad,Im sorry  thats available time 
18851,joy,Happy Thanksgiving grateful for #holidays #salvation
18852,sad,Hey  Cindy  ’ sorry yesterday  ’ yelled 
18853,sad,Omg tv tonight HW :(( :/ ugh looks like hw b gettin XD
18854,fear,quot  afraid tomorrow seen yesterday love today #lessquot
18856,sad,Thanks   tickets ensuing insomnia laughed hard watching New Moon
18857,anger,Teacher prohibit students competition SOAB
18858,fear,time anatomy
18859,joy,  wish nice 8Zone sweater hood Christmas
18860,joy, nice meeting 
18861,fear,Spaniard agitated  wondering gone far 
18862,anger,  received parcel trashed proves teared backside thing removed #cheapservice
18863,sad,poured coffee Jenny Paul  felt unbearably sad 
18864,anger,Sale al myl birkin hermes bagsick people wear proud suffer 4 societywhile children suffer 4 hunger
18866,fear,root evil teaching kids #God #Love God
18867,joy,better daughters smile seen days
18868,fear,Im painful situation definition of: damned damned #life #love #therightthing
18869,sad,badsorry 
18870,fear,thunder belt hit roof building in
18871,anger,discussion mother concerning sisters divorce disagreed strongly
18872,sad,Tech pretty awful   answer called school phone
18873,sad,Man feel bad boud dhis tried wad ws right gues Im jus kindhearted nd dnt lyk 
18874,sad,twitter working Im going cry
18875,joy,MOO cards holiday cards arrived
18876,joy,feel absolutely terrible Time babysit night
18877,fear,caused good deal consternation dismay Westminster 
18878,joy,school year getting changed 180 days 185 days
18879,fear,Oh Twitter es terrible  Los TT de hoy es de lo que estado hablando en todo el dia
18880,sad,Failing exam
18882,fear,Life short live it rare grab it Anger bad dump it awful face it #Memories sweet cherish them
18883,sad,Im sorry  price final 
18884,joy,love touchdown celebration screams
18885,sad, think little selfish  know 
18887,sad,brushed teeth realized hot chocolate left
18888,joy,accepted student
18889,joy,celebrate christmas let 1another sharing wat hav 2getherproviding 4 needy hungry wit amp #rejoicing
18891,joy,Freakin Happy Rite Now Words cant describe it :)
18892,sad, course  devastated  knew wrong  blame  
18893,sad,son lives country feel sadness mothers walks children
18894,joy,Arabic comprehension exam bit
18895,joy,Thinking getting ready work shifts left till Saturdays night
18898,sad,m miserable 
18900,joy,Dinner robs family today
18901,joy,favorite time day bedtime
18902,sad,    Im gonna cry college day high school
18903,anger,bus route absolutely ridiculous
18904,joy,Yesterday final whistle blew final match OIS IFK certain OIS Swedish title
18905,joy, things unavoidable great metropolis like Beijing  think desirable benefit psychological  Bicycling home work help release stress  Life offices miserable  sit daze  gazing monitor dealing files documents  play energy work  Enjoy speed road  think  flashing past poles energy  great 
18906,sad,   wtf Im lol got Mike n Ikes smmfh got whip come pick yo big head ahh
18908,joy,’ smart  usually relieve anger 
18909,sad,Despite sadness occasion  gave way hysterical giggling gradually realized compartment contained mourners corpses 
18910,sad,uncle passed away night 
18911,sad,Nails miserable anxiety 
18912,sad,School today Sigh
18913,anger,Im angry Bob buying new bike 
18914,sad,left     im pretty sure Im gonna cry sleep tonight
18915,joy,tomorrows gonna consist calling companies shouting incompetence
18916,sad,Discovering Lillehammer provided musical environment suits taste told so
18917,fear,obey border need papers ask permission title man #religion  #Earth #nature #war
18918,sad,Bert  lanky  lugubrious individual  declined 
18919,anger,store  jerk 
18920,joy,love teaching Wednesdays makes laugh provides interesting challenge
18921,anger,hack life dicksick ank come fix water yet
18922,anger,mother time trying separate good friend who thought good company me Finally breakfast day argument tried defend friend
18924,fear,Arrest spirit NOW Declare U #MovingForward NOW YES
18925,fear,Overheard Thanksgiving dinner: quotTheyre going PROVIDENCEquot quotexecutionsquot quotdrivebysquot quotmurder ratequot quotthat awful parking garagequot
18926,sad,broke black friday
18928,sad,  art thou miss face #desire
18929,sad,  haha nah im skating season nice days cold
18930,fear,letter boyfriend began way thought going end relationship afraid reading rest
18931,sad,Lark Morning Seattle: closed permanently
18932,fear,not end world week #afb
18933,sad,finished power point semester Progressive Caucus
18934,joy,mono test came positive
18935,joy,Tomorrow day meetings scheduled phone calls actually working morn till night
18936,sad,understand anymore Good mood gone bad
18937,anger, overcharging 
18938,joy,Champions League round tonight :)
18939,fear,People waiting trains watched horror violence spread Festi Hall 
18940,joy,Listening Christmas music clean :)
18941,joy,Failed spanish quiz alek
18942,sad,hot  sunny water looked cool inviting Maggie felt downcast swimsuit 
18943,sad,’ know ’ going  ’ going impossible ends meet lose job 
18944,fear,exposed dead bodies dissecting purposes school medicine
18945,sad,  sound like want life coach
18946,joy,Charleigh Emery Duvall arrived night 9:13 pm EST 6 lbs 14 oz 20 in Anybody got primer new grandparents
18947,joy,Class canceled time work
18948,anger,discovered boyfriend girl discovered letter wrote girl away asked accepted it
18949,sad,packing ready airport #yayforclasstonight
18950,joy,pleased Canadians World Cup beaten  
18951,sad,Im sorry  sir  Im going ask leave 
18952,sad,IM GUH IMMA BROKE BLACK FRIDAY
18953,joy,Suddenly  relief  telephone rang  Joanna picked  wrote message  came table  looking elated 
18954,joy,lions wings desperate housewives
18955,anger,Richard Nixon repeatedly expressed exasperation work unresponsive bureaucracy 
18956,joy,cometh #Pain #NothingisImpossiblie true way wealth aiming daily improve health
18957,fear,«  afraid tomorrow seen yesterday love today #less»
18958,joy,Teacher coming hour 
18959,anger,QUIT FACEBOOK ADVERTISE BUSINESS DELETE YOU
18960,joy,cry 2 tears  im happy :)
18961,fear,Sleeping tent hearing noises rustling etc afraid people good
18962,joy,  wat bro feeling rite toite gon turn upliterally
18963,fear,people filled fear someday released: breathe easy happening
18964,anger,Israel miffed Kohl s plan visit walled Old City east Jerusalem Mayor Ehud Olmert 
18965,joy,  comment ca Moi c smaine qui commence pas du bon pied
18967,fear,  kids visiting Penn State felt  Damn near piss pants kicking wit    
18968,joy,love hearing random angry outbursts cubes hall: quotits f***ing attachment sent you lazy sack s**tquot
18969,fear,NeverBroke bitch Gettn $ Option doesnt exist
18970,joy,  change HLNTV lighter fare amp eagerly await Behar Show
18971,joy,got stressed study guidethat
18974,joy,Talkiing past happy hours friends night camp months ago shared feelings notions hidden anxiety thought cared happy satified
18975,sad,performance drew applause press corps relieved approaching end election campaign year  brought smiles previously glum ministerial faces 
18976,joy,happened selected Secondary school start Form October 1980
18977,sad,Christmas Eve: tension parents try restore harmonic atmosphere Mother stayed room day felt sad
18978,joy,4am Im wide awake Sore throat amp lots water :(
18979,sad,Lundi J Cole je ny serai pas
18980,joy,school thought pass MCE end year announced radio passed happiest person
18981,fear,thing holding #failing
18982,anger,’ aware gravity situation 
18983,sad,  ah thanks lady unfortunately homework command station set
18984,fear,“  afraid tomorrow seen yesterday love today #less” Onwards amp upwards
18985,joy,Feels Good Red Light BB Flash (Y)
18986,anger,bury ur uve killed it u bury quotliving angerquot functions seed amp grows Bitterness Tree  
18987,joy,  u amp   south p bus semester 
18988,sad,disagreement parents father sister aggression continued father tried sister mother revealing facts happened past like talk father mother law told mother save
18989,joy,otter box
18990,anger,angry day teacher told sweep orange peels friends supposed sweep teacher told it
18991,sad,Juicy Couture rainboots ripped them thrown Juicy starting now
18993,joy,happy ive finished english coursework 998 wordss :D
18994,fear,nervous Martin Bean 
18995,joy,Eating biscuits drinking Milo (Chocolate energy drink milk usually drunk warm) friend College well withold feelings others friends pretty good cheering homesick
18996,joy,stupid Iphone4 broke again hopefully work 5 hours
18997,joy,Practice tomorrow @ 7:30  Sleep   Gnite  
18998,sad,:( sad face Missing bestest friends world need guys
18999,fear,attacked knife
19000,joy,NW Road shit good hell
19001,anger,week friend called said moody difficult persuade got angry her
19003,joy,cold crap Im stuck waitin momma outside gym
19004,anger,looked little resentful earlier   dare hope   slightly anxious 
19005,joy,Elaine exclaimed  delight evident entered openplan living diningroom decorated fresh lemon blue fabric Christina chosen 
19006,fear,DH criticism drugs medical regime re frightened 
19007,sad,received SYJC results marks obtained expectations missed admission engineering
19008,joy,Wohoooo 3 pages works cited Guess Ill finish tomorrow start lovely 10 page paper
19009,joy,  announced Birthdaymas present Steam Holiday Sale shopping spree #cheer #christmas #steam
19010,sad,retire picture Michael Emerson weird amazing expression
19011,anger,gave personal information friend mine told implicated affair
19012,joy,pretty exciting Im seminar 49 ladies business owners
19013,joy,Ugh Ate im feeling sick now #not #Fatkidproblems
19014,sad,lead secure life thing remember song nineteenth century alcohol melody word (although naive) effected emotions
19015,anger,best stat night Kyle getting mad refs 3 times
19016,sad,Uhoh  Im trouble 
19017,sad,Liz looked woebegone felt staggered stuffy carriage  Barbara burst laughing 
19018,fear,“  Someones Heart #ASSWHOOPING Gone Receive ”
19019,fear,    lol new somali brodaas discipline
19020,joy,  good enjoyed :0) going sleep early start night love x x x
19021,joy,  son shares things asked to like offering strangers sweet Brings joy hes 3years old
19022,joy,Oh  
19023,sad,feel like crying like wish u knew felt rite
19024,anger,peeved Robert KilroySilk credited inventing egg trick recent colour supp profile 
19025,fear,war dragged Modigliani s horror waste life increased 
19026,joy,bought sheets amp plank bed Im going close eyes amp fake dead 
19027,joy,identities taken ones foolishly hope in cant were children God
19028,sad,sorry  improve dishes time 
19029,joy,Working necklace design
19030,joy,eye doctor eyes got worse
19031,sad,Coffee Bill Russell book :(
19032,joy,happy understood girl liked love me
19033,anger,acting like idiotic schoolgirl  intelligent woman  thought exasperation 
19034,anger,heres good joke: verizon customer support
19035,fear,m frightened feeling away  s fragile  want break 
19036,fear,find 2 year old daughter ran looked find her (I finally found her gone bed sleep)
19037,sad,day rouse trailer  Lee Marvin entered quietly found sombre  lonely  sad man 
19038,joy,felt joy passed worst phase life discovered people considered important them
19040,joy,passed year come second year
19041,joy,Leave Past PAST
19042,joy,Al final acabo cayendo en lo de ir
19043,joy,work go gotta stick 45 minute bus journey mind
19044,joy,Time bed guess work 96
19045,joy,brain fried started homework
19046,joy,day started ended better date night   #sushi
19047,anger,impression arouse anger see angry respects ~Richard M Nixon
19048,anger,ridiculous mad      Seriously mess important school papers
19049,joy,Today big day  swim 3 times 50 m
19050,joy,So teachers decided homework semester week
19052,joy,Ive gone scissors happy fits room lights work freaking world
19053,joy,guess im stayin entire class period today 
19054,anger,butcher incensed 
19055,joy,day told accepted student economics
19056,joy,Ill working 2 different kitchens tomorrow trip Southmead
19057,fear,gain confidence experience stop look face~ E Roosevelt
19058,fear,NEGATIVE faithWhat #FEAR ATTRACT #TRUEstory
19059,anger,recently football match national teams Bulgaria France felt strong anger Scottish referee ran match partially
19060,sad,able distinguish dream reality
19061,anger,remember school saw case partiality  teachers gave private coaching classes girls girls extra attention class ignore others
19062,anger,care re offended  s truth  
19064,sad,odeio ouvir um disco legalprocurar um lugar pra baixalo e não encontrar =S ( )
19065,joy,bought treat friends   delivered found sponsor #ilovemyjob
19066,fear,smell smoke 
19067,fear,Dome squad 2012 Rude Ronchy Ruthless
19068,joy,spca tomorrow community service
19070,fear,l sleep nah Good darky cold nite
19071,fear,cinema Dream House
19073,sad,understood marriage falling apart decided legally separated
19075,fear,Damaged tap residental Hall
19076,sad,  era meglio quella dove cero io
19077,joy,read book write paper 8 days
19078,anger,terrible house 
19079,joy,Lunch old folks club heading tampa
19080,joy,LOCKOUT OVER roll 66 game season
19081,joy,People greater world know #God loves grains sand world
19082,anger,live weeks ago woke man end bed coming bed me angry told out surprised hesitated started backed  kept telling  loudly firmly go Id got initiative succeeded powerful message
19083,joy,drove partially country father stopped towns stayed overnight motels joy got feedom felt real beauty country
19084,joy,Blank
19085,fear,personal definition ambivalence: finally date experimental surgery
19086,sad,manager jumped mistake today 
19087,fear,course wants Kobe Paul together allowed Lebron wade bosh WTF
19088,sad,Ugh   game showing channels
19089,anger,supposed  far ’ turned  ’ left work  break ’ day 
19090,sad,  going daysto bad ill miss
19091,joy,Omg loveseat living room cleaned off cant remember time sat it
19093,fear,afraid tomorrow seen yesterday love today #less
19094,joy,soak tub bed School AM  Night tweeties :)
19095,joy,Sondheim mood today course Monday cancel lesson (Where work Sondheim) pneumonia
19097,sad,feel like total selfish bitch :(
19098,anger,situation keeps occurring  little sister disagrees viceversa similar temperaments end feeling angry fighting unimportant trivial matters
19099,sad,  yeah strange feeling sarcasm cause tweeted days ago wanted hahaha
19100,sad,Final CSA cult meeting
19101,joy,Gotta tomorrow thou Friday night consist  writing paper load algebra
19102,joy,people freak giving best friend running huggtgtgtgtgt
19103,anger,sounded disappointed David knew suppressing exasperation 
19104,fear,years protected seed time beautiful flower~SC Paul
19105,joy,Im sorry  Whats 
19106,anger,  phone dies right middle breakdown 
19107,joy,14 hours shopping deal vomiting animals
19108,joy,biking boyfriend sun shining long period bad weather spent evening night together
19109,sad,bunny ears cell phone cover falling
19110,joy,guess start reading 1000+ page book cause Im 300s gotta ready Wednesday
19111,joy,hoping better day wait conditioning #dreamstream
19112,joy,Love raining walk class
19113,fear,LOVE LOVE LOVE Da Onli Thing Truly
19114,fear,Bishop Gray quick speak express  dismay extreme disappointment announcement closure 
19115,joy,Gonna nerd homework kill christian gets like 1
19116,fear,Scared hell feelings maybe stop b4 begins
19117,fear,2)March 2009the market said : opportunity therebut COURAGE missing factor strong
19118,fear,    Ill cry wanna die 
19119,anger,living flat things me Finally threw prejudiced people esteem lot
19120,joy,Break Think like apologize to smiling Feel hug tell OK #LJB
19121,fear,quot turned hatred amp violence human #Heart quot ~ Stephenie Mayer
19122,joy,dude opposite feminine finger(s)/nails #manhands #ihaveem
19123,sad,Hate weak nails are cut breaking :( #manicureNEEDED
19124,sad,Bye Alec Ill miss much fun Belize
19126,anger,damaged wristwatch liked much
19127,joy,family gets week holiday Everybody feels free trip planned works enjoy ourselves
19128,joy,Took quiz government hated those essay 2 projects homework test amp finals
19129,joy,6 hours field hockey weekend
19130,anger,PREECHITRT   Righteous BLOWS CLAMS UP surveys situation amp obeys GOD spite satanic aggravation
19131,sad,Movie black civil rights # kanye lol
19132,anger,comrade staying doors insulted called misuse iron called stupid self centered etc wanted punch instead went walk mining school cool off
19133,sad,doubt pass 
19134,sad,Seatbelts safe accident cause terrible pain day
19136,joy,Looking delighted prospect  stood 
19137,anger,Oh right  present company excluded  course 
19138,sad,parents experience deep pain despair teenage children 
19139,joy,Christmas Break= bitches jerks hated high school coming home entire month
19140,joy,Landlords pleased find apartment blocks overnight property tenants 
19141,joy,boyfriend playing cat playing games telling nice things her
19142,joy, Excuse Dang Lang BrotherI Mean Know Juggle Balls Like Wrangling Brothers ^^ #
19143,joy,Outfit Bitch Im Killing Hoes
19144,joy,Train rides enjoyable ears bleed entire trip
19145,joy,Dance practice 4 hours
19146,sad, crazy   Oh dear   known  talked downsizing   Ive got family
19147,fear,going Nkhoma Saturday vehicle moving fast feared crash road rough
19148,joy,Reunion wife legal separation
19149,fear,walking street late night (230 am) quiet man approached said \Hello\
19151,fear,  Chaii RITA devil lair oGOD lol
19152,sad,tone sad 
19153,joy,cant help 2 think abt ppl 2day food 2 eat pray God brings amp Provides need
19154,sad,father suddenly fell ill stayed 3 months hospital: month intensive care Academic Hospital died
19156,sad,Todays soundtrack goes rain
19157,sad,  business school success
19158,joy,  Aloe Vera Lip care amazing utter timebut especially #Winter
19159,joy,wait high school year half go
19160,sad,sad u know people break profile pics change
19161,anger,end things ready relationship 3 weeks later dating someone
19162,joy,windy day mess feeling wohoo
19163,joy,considered thoughtfully  gleam amusement came eyes 
19164,sad,days well tire taking digs InsaneSibal others tire stupidity #fb
19165,fear,quotA leader coach judgequot #lean #systemsthinking #development #HR
19167,fear,kid opened door greet father came work day happened hair scattered overcrowding train opened door usual saw else scared talk
19169,joy,remembered bar chocolate bought WHSmiths earlier
19170,anger,met new girlfriend man street
19171,fear,aftermath war government said concerned Turkey s increasingly prominent international role 
19172,joy,land uggs considered appropriate footwear foster people quotindiequot
19173,sad,mac dieneed charge want leave
19174,sad,lost tanning goggles:(
19175,fear,côté de chez moi il une offre pour des quotcours de français pour femmequot… Soit elles ne parlent pas la même langue soit…
19176,sad,mother good friend died
19177,joy,Eggs pancakes n bacon   :) watching august rush gorgeous Christmas tree
19178,joy,English vocabulary state right politics
19179,fear,didnt like personally 1st try couple Ill know funny rap camera
19180,joy,  lots things bring like bed Christmas love especially Im family Xmas= #JOY
19181,fear,    exciting except yerno finished essay translation
19182,joy,mother friends gave surprise birthday party  invited large number friends too
19183,sad,gain follower lose one Stuck 123
19184,anger,Dear tv channels ur playing sporting event instead ur regular programming thats Wats airing guide
19185,joy,5 hour shift turned 8 hour shift
19186,fear,alarm set 6 reason buzzing thinking Krul busy day today
19187,anger,failed exam thought pass
19188,anger,returned taxes expected
19189,fear,place breeding ground hate #sadness #Confusion #Alienation #Judgement
19190,fear,vu quon retourne plus par la suite
19191,joy,Tonight Ill announce lucky winner Cookie Cookbook :) xoxo meantime enjoy fantastic day
19193,sad,gosh DAMNITjust got work  amp gotta DICK homework amp SACK
19194,anger,Hywel glaring mad suit 
19195,joy,Looking forward terms Create sessions   Sensory sequencing movement makaton music amp Shakespeare
19196,anger,career wife spoke exasperation husband listened half ear watched television 
19197,joy,Bye bye man u Hahahahaha
19198,sad,      missed school today missed band class choir :(
19199,joy,hate thinkin bout work b4 ii bedim gonna nightmares
19200,anger,quotIn #sin: let sun angry #DEVIL FOOTHOLDquot Ephesians 4:26
19202,anger,Excuse  time waste  Ive hour 
19203,sad,  YouTube claims new Dragon Roost Island video ft Veela private video emailed :(
19204,fear,✓RT   afraid tomorrow seen yesterday love today #less
19205,sad,  Im dissappointed agreed river waz gojng dedicated
19206,anger,girlfriend disliked played majong (a game gambling) expressed regrets went neglected existance angry left displeasure
19207,joy,love Christmas break :) amp subbing tomorrow
19208,fear,Maybe Im naturally hysterically happy spent years bit moany angry hormones
19209,sad,Amanda s grief father compounded anxiety ontological status 
19210,joy,bomb ass dinner tonight 
19211,fear,quot  afraid tomorrow seen yesterday love today #lessquot
19212,anger,Don’t touch angry person permission
19213,anger,mad expect delicate business preparation Vologsky speeded crude operation factory bench 
19214,fear,    sound Bob Sounds tough
19215,joy,quotTill appeared soul felt worth thrill hope weary soul rejoicesquot #itsonlythe10th  
19216,fear, rules laws people frightened losing property  sort people frightened mugged night 
19217,joy,Class 2 5:30 need come home write essay thats tomorrow #bitchtweet
19218,anger,“  ok cant find car max building up”
19219,joy,Captain McArthur musical comedy aficionado  pleased Mrs Kingswood spoke critically form 
19220,fear,deny given usif refuse love #pain lossthen lives emptyour loss greater
19221,sad,Feeling left guelph party
19222,joy,Thank 
19223,fear,  bad asswatch tweeter world come age #bringthepain
19224,joy,Vanavond halve finale en vanaf 6 december het weer time
19225,fear,feeling little anxious thought bed night 
19226,joy,Laying bed Window open Cool breeze Listening book Numbers
19227,anger,need sign NonAggression Pact
19228,sad,like woman abortion feel lavatory express grief tears 
19229,sad,HAVE RT   Oh got home find gone surprise 3:30 :|
19230,fear,afraid tomorrow seen yesterday love today #less
19231,anger,pickpocket robbed money (K20) buying bathing soap
19232,joy,1 Black Friday shopping accomplishedPart 2 starting 4
19233,joy,Thanks reminding  right person help 
19234,fear,quot  afraid tomorrow seen yesterday love today #lessquot
19235,fear, return sources  discovers primitive celebrations entirely divorced modern sexuality  concealed deathly horror 
19236,sad, sad mummy nasty   said 
19237,fear,oral examination long time especially day examination feeling studied time it
19238,fear,La lampada sopra la mia testa ha scricchiolato
19239,anger,thing keeps going work imagining making huge scene walking hell management
19242,joy,feel joy usually taken exam February
19244,joy,friend replying letter saying attracted suggesting write talk things went suggestion ring good  insane conversation
19245,fear,knew sin sent glory like lamb led slaughterand died usand hes comin
19246,joy, mother pleased happy 
19247,joy,animal perverse delight terrorizing 
19250,sad,necessary watch Elf right now bad got deleted DVR
19251,sad,saw dating exboyfriend 
19252,sad,hate time peanut takes nap cant /
19253,joy,Peter conceal excitement limelight 
19254,anger,Closest Friend Fucked 4 Ex amp believed lies forgive forget Treachery
19255,joy,Listening   journey homeon Thurs
19256,anger,Do hasten resort lest prevail #habit’ #ImamAli
19257,joy,beautiful girl world girl makes world beautiful
19258,fear,matter times shower cant wash gads
19259,joy,absolute delight trap held seven pound salmon  plus couple mullet ignored 
19260,sad,feeling lil downits crazy im left memories
19261,sad,friend leave other
19262,fear,Falling cliff mountains
19263,sad,Derby County s grief foot division continues went Crystal Palace 
19264,joy,morning bother photographers w/ emails over begin eating taking bus work w/ screaming children
19265,sad,  awkward moment gorilla shows party shaves everyones moustaches claims
19266,anger,couldnt play physical sport fights
19267,joy,LT  im talking bout black ass 
19268,anger,dean university asked vacate big flat occupying smaller time student university
19270,joy,Easy caught holiday rushbe aware momentbuild silverwhite pillar Self present radiate #Mindfulness
19271,anger,yes  Sunday went nearby market  openair fair  chanced bag bought spot  trying strike bargain  paid  told Chinese colleagues bought overpriced  talked way thirty 
19272,joy,Autumn best season Beijing  know 
19273,joy,going party 
19274,joy,Great wisdom teeth pulled
19275,joy,meeting conversation woman (somewhat elder me) considers child (she child own) years lived (no relationship)
19276,anger,complaint  Ive badly treated rude maid 
19277,sad,madrigal life miss square
19278,sad,stuck crying cant drive fun
19279,joy,time start research paper
19280,fear,Visto hoy : CF dándolo todo muyyy drumnbass ella jajajaja Oo
19281,joy,early awake start hour drive lbk
19282,fear,stop playing basketball fat
19283,joy,happy victory Germany expected win races year  
19284,anger,man treated dog badly  insulted beated dog kept lying floor tail drawn in
19285,sad,  AI hometown Garner party Southern Pines was saw him
19286,sad,feel like walking ending spiral staircase #pain
19287,fear,aint america grand lets thankful cause shiny told well like TEEVEE
19288,anger,Jealous husbands old girlfriend met husband lot reminiscing
19289,sad,  person hit twitter best friends boyfriend #ourfriendshipisarelationship
19290,joy, boys totally happy initially undisciplined children visiting home generally regular basis 
19291,fear,Today start health safety course Hopefully end boring person
19292,joy,  WHERE jealous Im writing dissertation day tomorrow #Festive #BahHumbug #AhBumhug
19293,joy,5 beautiful days off Im going work
19294,joy,deeply ~ connect soul amp yr true essence  #passion
19295,sad,[OOC:] Afraid bit RP account acting up
19296,fear,    know joking cos family Thought drink gives
19297,joy,come home little sister slumber party house
19298,sad,feel like baby face nappy beard
19300,fear,  selon doctissimo le verdict est sans appel: cancer du cerveau 
19301,sad,  : grew balls today unexpected failed challenge balls shriveled
19302,sad,’ sorry ’ 
19303,sad,  missing game night :(
19304,sad,musical over skid row running audience flashlights
19305,joy,Leek present MCR redo weeks worth work days
19306,joy,like morning argument breakfast #Asshole #smh
19307,sad,OUCH moment u found out special
